date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,wind_speed_10m,wind_gusts_10m
2020-01-11 19:00:00+00:00,9.8,81.03429,6.7,4.2558346,100.0,32.26572,61.920002
2020-02-05 06:00:00+00:00,1.8,93.076385,0.8,-1.5845299,18.0,9.504272,18.0
2020-02-12 06:00:00+00:00,2.1,74.287575,-2.0,-3.5741172,1.0,22.35481,42.12
2020-02-24 06:00:00+00:00,8.0,94.691086,7.2,4.073696,100.0,21.986542,40.32
2020-06-14 08:00:00+00:00,17.0,76.05614,12.75,15.766886,59.0,14.4,31.68
2020-06-16 07:00:00+00:00,14.95,86.97651,12.8,15.045019,42.0,5.4119864,16.919998
2020-06-17 07:00:00+00:00,16.75,80.09831,13.3,17.276554,96.0,3.6179552,12.959999
2020-12-13 16:00:00+00:00,9.45,93.47657,8.45,5.359316,100.0,25.264202,46.8
2020-12-16 08:00:00+00:00,7.9,87.18459,5.9,3.4080229,78.0,23.795427,45.0
2020-12-18 07:00:00+00:00,10.85,83.98215,8.25,6.0722485,100.0,29.620802,56.16
2020-12-22 08:00:00+00:00,9.5,87.038795,7.45,7.3965406,100.0,9.904906,23.759998
2020-12-24 09:00:00+00:00,2.85,80.05696,-0.25,-2.6020977,1.0,22.553934,48.239998
2020-12-25 11:00:00+00:00,2.1,72.66051,-2.3,-2.7863116,36.0,16.676977,33.12
2020-12-28 19:00:00+00:00,2.45,94.4548,1.65,-1.4974418,100.0,14.336861,26.64
2020-12-30 06:00:00+00:00,-0.45,92.61122,-1.5,-4.3786993,99.0,10.853866,19.8
2021-01-02 18:00:00+00:00,0.95,90.6939,-0.4,-2.7004128,99.0,10.041354,18.359999
2021-01-06 07:00:00+00:00,1.55,98.576996,1.35,-2.6158695,100.0,15.484185,30.599998
2021-01-08 18:00:00+00:00,-1.6,94.62163,-2.35,-5.612059,9.0,10.630672,19.44
2021-01-11 08:00:00+00:00,2.7,96.16534,2.15,-1.4920111,59.0,16.610792,30.599998
2021-01-13 07:00:00+00:00,2.7,94.129074,1.85,-0.66619635,100.0,10.587918,20.16
2021-01-15 17:00:00+00:00,2.55,80.59793,-0.45,-0.24177313,95.0,4.1046314,4.68
2021-01-18 20:00:00+00:00,6.8,93.98961,5.9,2.3655562,100.0,23.4,42.12
2021-01-20 06:00:00+00:00,9.7,88.85432,7.95,4.275058,100.0,33.53415,66.6
2021-02-03 07:00:00+00:00,6.55,96.94765,6.1,4.7070665,100.0,5.937272,15.119999
2021-02-05 07:00:00+00:00,5.45,98.621025,5.25,3.0169287,100.0,8.699793,19.44
2021-02-06 16:00:00+00:00,6.35,93.31865,5.35,4.0228567,96.0,8.12197,21.24
2021-02-15 18:00:00+00:00,8.6,91.22732,7.25,5.8501062,99.0,14.003029,32.760002
2021-02-20 11:00:00+00:00,13.15,66.73736,7.1,8.399103,100.0,27.475807,54.36
2021-02-21 11:00:00+00:00,12.65,80.87027,9.45,10.747032,32.0,12.10157,28.8
2021-02-23 07:00:00+00:00,6.35,93.31865,5.35,2.8759322,99.0,15.986595,32.760002
2021-02-24 07:00:00+00:00,10.9,74.27228,6.5,6.187586,49.0,26.242987,50.399998
2021-02-25 07:00:00+00:00,9.5,78.24755,5.9,6.785227,98.0,11.609651,24.48
2021-02-26 07:00:00+00:00,0.45,92.6638,-0.6,-2.6600602,0.0,6.1305785,10.799999
2021-02-27 11:00:00+00:00,9.4,69.985016,4.2,7.405818,15.0,4.198285,14.4
2021-03-02 07:00:00+00:00,1.45,99.64226,1.4,-2.0970707,100.0,11.298495,21.24
2021-03-03 07:00:00+00:00,1.95,99.288574,1.85,-0.8488686,100.0,6.696387,14.4
2021-03-04 12:00:00+00:00,4.85,80.6331,1.8,0.7645941,100.0,15.463244,29.88
2021-03-05 12:00:00+00:00,4.8,58.312717,-2.7,-0.09253502,99.0,16.363178,39.239998
2021-03-06 11:00:00+00:00,6.0,61.03066,-0.95,1.968873,98.0,12.10157,28.8
2021-03-11 07:00:00+00:00,8.65,69.58873,3.4,0.37949896,89.0,46.160084,88.2
2021-04-09 07:00:00+00:00,5.25,88.78628,3.55,1.7439075,93.0,13.684735,26.64
2021-04-29 18:00:00+00:00,9.0,53.875553,0.15,5.739443,45.0,7.9526596,21.24
2021-07-01 06:00:00+00:00,13.4,83.71563,10.7,12.564938,79.0,7.2359104,15.4800005
2021-07-07 07:00:00+00:00,15.4,84.49798,12.8,13.164927,83.0,21.38897,43.92
2021-07-10 08:00:00+00:00,15.0,81.72118,11.9,14.860224,100.0,5.00128,16.199999
2021-08-15 12:00:00+00:00,20.9,65.10419,14.1,19.605352,32.0,19.734436,43.56
2021-09-05 09:00:00+00:00,18.65,80.61608,15.25,18.768005,63.0,11.304229,25.919998
